Proto Boards,https://www.amazon.com/Prototype-Snappable-Arduino-Electronics-Gold-Plated/dp/B08151V9TS?ref_=ast_sto_dp&th=1,
Display,https://www.amazon.com/waveshare-5-5inch-Capacitive-LCD-Compatible/dp/B0BG2CLS6Q/ref=sr_1_2?crid=136DM3W6B8OKP&dib=eyJ2IjoiMSJ9.4twk7_B0fEZOgFqFKayY3A2Ula_Q92LjeMFNBOXGQX2kO2naX958ctqY5-XUgoPXziMYi_5fSKsPkhsLycZysmvU1RT_CNxe6BfCk5nMU9DUDrJ4jrY7aCfgUi_ofXsAA27fVm-4WNVjLUhrvQJPySGjopM4YE01uojMBtzAV8Mrpd9kpfoqAmGhhEtQ7QqxmuYE3drMsTomPH6E3JxhgE-Tnmc-La2y6xfY0cc2mC4vYU0J1oBlxYSneg2-tgN4WH5ORB_4IkDJ1mUviYy6L6_TIvcj4oUTofTO5e5HGVI.czBBwFmJG7zG0qTVSiZPPk7EjkLn9pvSsY9opbTw4Pw&dib_tag=se&keywords=waveshare+5.5+captive+touch+lcd&qid=1782945484&s=electronics&sprefix=waveshare+5.5+captive+touch+lc%2Celectronics%2C261&sr=1-2,
Screws,https://www.amazon.com/Kadrick-Assortment-M2-M3-M4/dp/B0CQJZCC9T/ref=sr_1_1_sspa?crid=3FFSM04X1HQXD&dib=eyJ2IjoiMSJ9.iiF2uwYO8hyVWTRTISoh5rsH6ta1E6pgQ9mTsf-BC1Qq12qa6Mto6bZMSNNaEfykDzZYMBjX5-SDcYozhm_Blr-1uV3m1dKBj8MI9M4G0w2Wx4zMrlYqq8EkHooxWmtOfRXmGrHsHbsNNsSByMjOwhhD3zAwNcZVmYNxmUqpfe4iqS1CNQFrCXhbq2KjKh-8fFyVAbre2QgRfRBhmIzUhmn296RArtQMRHoky7ApwJc.8YRCW-EGmmu2MTAfbuNbQcSPfagWK7WflwDduL0-XKw&dib_tag=se&keywords=kadrick%2Bscrews%2BM2%2C%2Bm3%2C%2Bm4%2C%2Bm5&qid=1782945573&sprefix=kadrick%2Bscrews%2Bm2%2C%2Bm3%2C%2Bm4%2C%2Bm5%2Caps%2C337&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
Lens 2x,https://www.amazon.com/Eisco-Plano-Convex-Diameter-Refraction-Experiments/dp/B0FKHMTNPM/ref=sr_1_9?crid=YDYKG0ZIIX3R&dib=eyJ2IjoiMSJ9.a3QBGz8O3uE64Cl7RQZW_J2JaZCTR6DjIo_oPqcGdVr5lMxeyIMvEnqxBjQbQfatLCtrfiXVEnT5szykW2N0hqYMtpNBm3McWzkfwy-hTYn67eM5I-7mQ6OhIxEQoOafHyWXDX20ehej3onBdYBVH6kUmFGUseJaIWZD9D8FzBCmfkahsIbj0CIZ23KDMS-QQlIZJcvaI5m07geZoeo75xh7wM9-CBAy1UE5zAdq5bE.RzOdMhk_d34NLEWqRHrufGERyZnCHQsEpd9Pd9v7HDY&dib_tag=se&keywords=50+mm+lens+convex&qid=1782945619&sprefix=50+mm+lens+conve%2Caps%2C308&sr=8-9,
IMU,https://www.amazon.com/Teyleten-Robot-BNO085-Accuracy-Nine-Axis/dp/B0CL26J81F/ref=sr_1_3?crid=3AXQJ7VDSURUD&dib=eyJ2IjoiMSJ9.XYTU67RiiWAt3REqmDwaVBOdHqIVg2Mxp9YwvkTtMS5gGQ7WlWETakq7fX2UtUEmEP_qy388LsEoGrNpLqu-kEIPuoujrz1Jq8kZXCS2TAcJzL0BS9IJVpzk8k2uQDS2gZYjK4iWpcDfzNuikEYSm9PM3-g5dMImw7U6fKYJDoCYrg_3FWLYV65q_gqEtFKEVP3QxgTCFZSEIeJs9K88ogyLk6Jl0v1_WJ46amKz7Mc.MbueB8BZslSoqAR-5ewQWpCRhH5v70qVX4NqFdIJrhE&dib_tag=se&keywords=VR+IMU&qid=1782945681&sprefix=vr+im%2Caps%2C263&sr=8-3,
Arduino Nano,https://www.amazon.com/ELEGOO-Arduino-ATmega328P-Without-Compatible/dp/B0713XK923/ref=sr_1_2_sspa?crid=BXLBQJXU2DE3&dib=eyJ2IjoiMSJ9.CSabPsK1Esur1_yxeVdaWg7FTdRXh-WGMryJT08HZ8HxJsrhMMh5vMcrf3o8nOhPeictTmTWSetQQMO2rhee4OwoBu10ZqKLGmEJFy_SFJpW9-5lPD_vLfIo8VRem5zxFc0taT1Bhff16xqjvZ-o7ZMAlBpdUCWvLh_rBCmdREBs_pgEDWQ8_HOETrVPb2cdJPtCdyDCCmibCPcbxjBiSpqq6XQL9HeGf4LsstSPMHBXTlNoLqjmyqHMTFr80FtRj0udaqsY-K9Lr0QW8GLerE4us90PZQyIc5va5Rmx3rY.Sw4iO2giAS14eL_PKpxQCuxydBFCzEWeGgVa0cxZ9hc&dib_tag=se&keywords=NANo&qid=1782945705&sprefix=nano%2Caps%2C338&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
TPU,Your choice,https://www.amazon.com/SUNLU-TPU-Filament-1-75mm-Flexible/dp/B0BXNWK6NS/ref=sr_1_5?crid=36UTK0K0FD30Q&dib=eyJ2IjoiMSJ9.Ewrsc8t9jvotneNapKkr9OeeqHdqFUtkRXAOWUoSz2DkeiMKYYCZxA_IXM8q-geUnu_fCrb_JeZ8A4zH1EaOJFd-W_m61CyOc2kASkd4g4JH5O3ood9vlv7EDSIpylU_4Tp2hnoT0WMPPca_Hn1P_tj2zDDn8oLA0Xb_5GUaEhhFIJ5YjoGnjZ7ZynUPl2CcoQiozIQhPfap3JDNXqSGOxCzcSsnsjzqIBraf6wtwf3ACVmdV9FTDgL_Uan8k6-RDJ9j3uGFIJFOoEKn9RUhnsB32hTK5KmKuduQ0OYNF3E.ip3p3uipFfgQc0-OiucMnpVJtO-SI7vvs92l-0Pm7X0&dib_tag=se&keywords=tpu&qid=1782945893&s=industrial&sprefix=tpu%2Cindustrial%2C308&sr=1-5&th=1
PLA,Your choice,https://www.amazon.com/gp/aw/d/B0BM7465PB/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=f0fa5a1201c097daa991c1d173b4f9e1&hsa_cr_id=0&qid=1782945840&sr=1-1-9e67e56a-6f64-441f-a281-df67fc737124&ref_=sbx_s_sparkle_sbtcd_asin_0_title&pd_rd_w=AoNys&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=FSFGKA2HZKAE16DVGYFK&pd_rd_wg=Q5h2B&pd_rd_r=eeacd079-ff5e-4365-8bc0-b9df363cee1e
